old_id,old_name,qty,income,tickets,years,new_slug
3,WAXTARD PERLA 25 Kgs.,14606.0,1122205.5,1710,"2012,2013",waxtard-blanco-perla
13,CEMENCON GRIS SACO 50 Kgs.,3614.0,428186.0,361,"2012,2013",_cemencont
10,DARAHUEL S-35 CUBETA 18 Kgs.,1327.0,345998.68,267,"2012,2013",adhesivo-darawell
16,TIROL PLASTE 25 Kgs.,3465.0,294746.0,222,2013,_textura
29,MORTERO MAESTRO 50 Kgs.,3048.0,271961.0,466,"2012,2013",
17,TEXTURA ADHESILE 25 Kgs.,2688.0,228605.0,139,"2012,2013",_textura
155,WAXTARD PERLA MACROBOLSA.,1382.0,150346.55,182,2013,waxtard-blanco-perla
30,CEMENTO GRIS APASCO 50 Kgs.,1170.0,148231.0,383,"2012,2013",
415,CEMENCON GRIS 25 Kgs.,2314.0,145257.5,241,2013,_cemencont
7,PEGAPISO 20 Kgs.,2824.0,142992.0,187,"2012,2013",pegaxpress-psp
21,VARILLA CORR. 3/8 X 12 Mts.,1339.0,114472.0,119,"2012,2013",
413,PASTABLOCK,2111.0,110235.0,58,2013,pegaxpress-block
4,WAXTARD SKIM COAT 25 Kgs.,718.0,107175.0,242,2013,_skim-coat
5,WAXTARD EIFS 25 Kgs.,632.0,92898.0,195,"2012,2013",waxtard-extra-anclaje
28,CAL HIDRATADA 25 Kgs.,1674.0,90305.0,155,"2012,2013",
27,YESO MAXIMO 40 Kgs.,1318.0,86384.0,217,"2012,2013",
157,ZARPEO MORTERO 25 Kgs.,1347.0,75615.0,122,2013,_zarpeo
53,CEMENTO PLASTICO 20 Kgs.,215.0,68379.9,49,2013,cemento-plastico-concreto
60,GRAVON CRIBADO M3.,203.58,68337.75,230,2013,
156,FIBRO-CEMENTO EXTRA 25 Kgs:,1078.0,65560.0,126,2013,_cemencont
11,DARAHUEL S-35 GALON,829.0,55585.6,189,"2012,2013",adhesivo-darawell
59,ARENA LAVADA M3.,157.78,54756.23,220,2013,
9,PISO SOBRE PISO 20 Kgs.,522.0,54243.5,92,"2012,2013",pegaxpress-psp
2,WAXTARD GRIS 25 kgs.,656.0,49490.0,78,2013,waxtard-gris
22,VARILLA CORR. 1/2 X 12 Mts.,335.0,47260.0,15,2013,
410,JAL POR M3.,108.42,46185.5,93,2013,
23,ALAMBRON 1/4,2692.5,41864.0,31,2013,
19,ARMEX DALA 15X20-4,442.0,40437.0,110,"2012,2013",
35,BLOCK 12 X 20 X 40 PESADO,3865.0,37347.5,66,"2012,2013",
509,YESO AMARRADO,520.0,33800.0,1,2013,
