new_slug,qty_salidas,income,old_names
waxtard-blanco-perla,15988.0,1272552.05,WAXTARD PERLA 25 Kgs. | WAXTARD PERLA MACROBOLSA.
adhesivo-darawell,3516.0,427911.53,DARAHUEL S-35 CUBETA 18 Kgs. | DARAHUEL S-35 GALON | DARAHUEL S-35 LITRO
pegaxpress-psp,3346.0,197235.5,PEGAPISO 20 Kgs. | PISO SOBRE PISO 20 Kgs.
pegaxpress-block,2111.0,110235.0,PASTABLOCK
waxtard-extra-anclaje,632.0,92898.0,WAXTARD EIFS 25 Kgs.
cemento-plastico-concreto,880.0,79935.9,CEMEN-PLAST S-35 1Kg. | CEMENTO PLASTICO 20 Kgs.
waxtard-gris,656.0,49490.0,WAXTARD GRIS 25 kgs.
waxtard-blanco-absoluto,150.0,12710.0,WAXTARD BLANCO 25 Kgs.
basecoat-plus-blanco,22.0,4235.0,WAXTARD BASE COAT 25 Kgs.
ceramico,170.0,1514.0,PEGAZULEJO MULTI-PROPOSITO 1 Kg.
