old_name,qty,income,tentative_bucket,decision
CEMENCON GRIS SACO 50 Kgs.,3614.0,428186.0,_cemencont,
TIROL PLASTE 25 Kgs.,3465.0,294746.0,_textura,
MORTERO MAESTRO 50 Kgs.,3048.0,271961.0,sin-grupo,
TEXTURA ADHESILE 25 Kgs.,2688.0,228605.0,_textura,
CEMENTO GRIS APASCO 50 Kgs.,1170.0,148231.0,sin-grupo,
CEMENCON GRIS 25 Kgs.,2314.0,145257.5,_cemencont,
VARILLA CORR. 3/8 X 12 Mts.,1339.0,114472.0,sin-grupo,
WAXTARD SKIM COAT 25 Kgs.,718.0,107175.0,_skim-coat,
CAL HIDRATADA 25 Kgs.,1674.0,90305.0,sin-grupo,
YESO MAXIMO 40 Kgs.,1318.0,86384.0,sin-grupo,
ZARPEO MORTERO 25 Kgs.,1347.0,75615.0,_zarpeo,
GRAVON CRIBADO M3.,203.58,68337.75,sin-grupo,
FIBRO-CEMENTO EXTRA 25 Kgs:,1078.0,65560.0,_cemencont,
ARENA LAVADA M3.,157.78,54756.23,sin-grupo,
VARILLA CORR. 1/2 X 12 Mts.,335.0,47260.0,sin-grupo,
JAL POR M3.,108.42,46185.5,sin-grupo,
ALAMBRON 1/4,2692.5,41864.0,sin-grupo,
ARMEX DALA 15X20-4,442.0,40437.0,sin-grupo,
BLOCK 12 X 20 X 40 PESADO,3865.0,37347.5,sin-grupo,
YESO AMARRADO,520.0,33800.0,sin-grupo,
CEMENTO BLANCO COMPUESTO 1 Kg.,3623.0,26291.74,sin-grupo,
GRANO CRIBADO DE MARMOL Kgs.,3300.0,26288.0,sin-grupo,
VARILLA CORR. 5/8 X 12 Mts.,117.0,25155.0,sin-grupo,
BLOCK 15 X 20 X 40 PESADO,2480.0,24043.0,sin-grupo,
ALAMBRE RECOCIDO,1155.0,23270.5,sin-grupo,
MALLA LAC 6X6-10/10 ROLLO,16.0,21670.0,sin-grupo,
TEXTURA MACROBOLSA 38 Kg.,131.0,16715.0,_textura,
IMPERFIBRACON GRIS 50 Kgs.,110.0,14850.0,_cemencont,
VIAJE DE AGREGADO PETREO,9.5,14100.0,sin-grupo,
YESO DE RESANE 1 Kg.,2637.0,14015.72,_tapagrietas,
SELLO LAVADO 1/4 SACO 25,725.0,12244.0,sin-grupo,
MALLA LAC 6X6-10/10 M2.,565.45,9761.09,sin-grupo,
FIBRACON GRIS 50 Kgs.,77.0,9310.5,_cemencont,
ARENA CRIBADA SACO 25,730.0,9244.0,sin-grupo,
TIROL MACROBOLSA 38 Kgs.,69.0,8901.0,_textura,
LAVADERO DE GRANITO # 2,5.0,8600.0,sin-grupo,
ARMEX CASTILLO 15X15-4,93.0,8223.0,sin-grupo,
CEMENTO BLANCO 50 Kgs.,27.0,6810.0,sin-grupo,
CEMENTO GRIS 1Kg.,1057.0,6230.84,sin-grupo,
CLAVO STANDAR 2 1/2,220.0,4780.5,sin-grupo,
GRANO CRIBADO # 2 BOLSA 2 Kgs.,247.0,3653.0,sin-grupo,
GARGOLA SIMPLE,27.0,3070.0,sin-grupo,
BLOCK 12 X 20 X 20 MEDIO,432.0,2793.0,sin-grupo,
CASETON DE FRIGOLIT 60X60X15,84.0,2730.0,sin-grupo,
BLOCK 15 X 20 X 20 MEDIO,403.0,2556.0,sin-grupo,
GRAVILLA  3/4 M3.,7.0,2270.0,sin-grupo,
BLOCK 20 X 20 X 40,150.0,2175.0,sin-grupo,
REPELLO S-35,30.0,1925.0,_repello,
LAVADERO DE GRANITO # 1,1.0,1800.0,sin-grupo,
GRANO CRIBADO # 3 BOLSA 2 Kgs.,85.0,1600.0,sin-grupo,
PANEL ESTRUCTURAL 2,5.0,1375.0,sin-grupo,
MARMOLINA FINA SACO 50 Kgs.,9.0,1350.0,sin-grupo,
CLAVO STANDAR 4,57.0,1329.0,sin-grupo,
VARILLA CORR. 3/4 X 12 Mts.,4.0,1220.0,sin-grupo,
CLAVO PARA CONCRETO Kgs.,18.57,1091.33,sin-grupo,
POLIDUCTO DE 1/2 ML.,434.0,1065.5,sin-grupo,
GRAVILLA LAVADA 3/4 SACO 25,53.0,694.0,sin-grupo,
GRAVON CRIBADO T.M.A. 3/4 SACO 25,50.0,610.0,sin-grupo,
TAPAGRIETAS S-35 1 Kg.,29.0,512.0,_tapagrietas,
CIMBRAPLAY 1 CARA,1.0,395.0,sin-grupo,
GRANO CRIBADO # 1 BOLSA 2 Kgs.,18.0,360.0,sin-grupo,
CHALUPA GALV. 2 X 4,64.0,348.0,sin-grupo,
PLUXEL T.F.I. 25 Kgs.,2.0,300.0,_textura,
IMPER-CEMENCON 25 Kgs.,4.0,260.0,_cemencont,
CASETON DE FRIGOLIT 50X60X10,12.0,216.0,sin-grupo,
TABICRETO 7 X 13 X 26,76.0,189.2,sin-grupo,
SEGUETAS HECORT PZA.,10.0,120.0,sin-grupo,
CONCREMIX,2.0,115.0,_concremix,
CAJA CUADRADA 4 X 4,7.0,58.0,sin-grupo,
CAJA CUAD. 3 X 3 GALV.,1.0,5.0,sin-grupo,
